Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma
1572864,196608,65536,65536,0,0,65536,65536
1572864,196608,131072,0,0,0,65536,65536
1574912,4129024,7471104,12713984,1835008,16318464,6225920,6881300
1574144,4980736,15007744,13959168,16580864,10420224,16646144,11337757
1572864,12189952,8912896,5046272,13041664,9371648,15335424,4653077
1573632,1048832,16056320,2228224,14024704,1310720,1245184,4456464
1573120,589824,14352384,11206656,13172736,15597568,4521984,4390942
1576960,14484224,16384000,14221312,16515072,9437184,11337728,12845081
1573632,12451840,1245184,13303808,11665408,13697024,7667712,2555913
1573376,4456448,6684672,14483456,6356992,15204352,524288,7077900
1573632,11338240,4849664,14417920,4456448,15335424,4521984,5636133
1574656,11272192,11665920,13762560,6619136,1900544,9437184,196636
1574656,1179648,7274752,16318464,3932160,3145728,262144,14286872
1573632,10420736,4456448,1507328,9699328,7077888,8192000,5242897
1573888,10354944,12124160,14221312,3801088,9306112,6619136,10616853
1573376,16122112,5505024,8978432,2555904,15269888,14417920,16515076
1573888,14483968,14352384,8257536,9043968,15335424,2686976,458772
1573376,9240576,2490368,16056320,131072,13893632,8126464,15925264
1575168,256,7340288,3670016,8061184,14417920,2818048,13762609
1573888,13500672,5111808,458752,12124160,14680064,5439488,1310725
1573120,2359296,2752512,13303808,15138816,1441792,7667712,1245206
1576704,9765120,5177344,4259840,6750208,6946816,5374208,3866684
1577472,196608,2555904,15990784,589824,4128768,2818048,4128779
1573120,9109504,5111808,2228224,12058624,6094848,1310720,2752518
1575168,3997696,16384000,10813440,15400960,14417920,11927552,16515089
1577984,6947072,12189696,11862016,15794176,8585216,2293760,13565963
1579520,13960192,16252928,4260352,10682624,5111808,15663104,11272264
1579008,15008256,14352384,12451840,16515072,6094848,6881280,1245202
1573120,13041664,8388608,14090240,3866624,5636096,16252928,851969
1573888,13238528,9306112,6160384,15532032,9633792,4915200,10551301
1573632,9699328,6881280,14811136,6488064,9043968,1638400,6094851
1580032,6229760,9175552,3801088,11993088,8847360,11927552,3080237
1574144,15925248,16318464,8323072,5505024,3735552,6225920,196609
1574144,15007744,4980736,6946816,3080192,8257536,0,9306118
1578752,10093312,1639168,11403776,11534592,15663360,15007744,11337868
1577472,13303808,13893632,6356992,2293760,16515072,6422528,9764866
1576704,16252928,12255232,14417920,15597568,6225920,12255232,10682370
1573632,524544,10813440,1114112,4587520,12386304,12124160,15532039
1572864,9043968,983040,393216,9961472,4194304,13434880,16252931
1573376,7012352,3670016,6356992,8519680,5177344,12189696,3866628
1580544,5376512,11010048,15728640,9371904,8126720,11075584,12910612
1577472,13893888,4849920,5308672,590080,3932160,14548992,4456475
1579776,1049600,1245440,9241600,458752,16318720,13434880,1572925
1572864,590336,4521984,15335424,13697024,196608,2293760,2686979
1577472,16319488,9371648,15335424,7077888,15597568,8519680,12058637
1575680,11730944,8519680,2752512,14483456,5046272,4849664,16384009
1575936,8981248,13762560,328192,14352384,13762816,5046272,1769523
1575680,6160640,8650752,6881280,11665408,2949120,8585216,5439500
1574656,15139072,4587520,1507328,3080192,13631488,14090240,9240589
1574144,2097152,14483456,15204352,8585216,10289152,12648448,1703937
1573888,16056320,8847360,65536,11927552,1441792,15532032,8716297
1575424,10944512,7471104,13238272,2818048,14680064,13238272,1310724
1580544,9177856,14417920,2162944,11600128,9502976,13238272,11993126
1575168,65536,5767168,15728640,4915200,458752,11993088,9175046
1583616,14615808,8913152,6225920,3014656,7012352,3866624,5177380
1573120,3211264,1441792,8454144,15663104,262144,458752,3866629
1573376,4259840,7864320,13238272,2949120,14483456,9502720,2686984
1575168,3997952,13893632,851968,4784128,12582912,917504,3932169
1583104,7274752,9961472,4915200,11075584,8781824,3670016,524303
1573376,6030080,13107200,8585216,6094848,6946816,3014656,15007774
1578496,11010048,9502720,2883584,1245184,1310720,13565952,4784135
1575680,6684928,7798784,11206656,3407872,13893632,5898240,2031637
1580032,10551296,9306112,9502720,16252928,15073280,15990784,1572904
1580032,8849664,1442048,13762560,13893888,16252928,11927552,2031659
1574912,721152,4718592,14942208,13565952,1376256,10813440,3801095
