Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma
1572864,196608,65536,65536,0,0,131072,65536
1572864,65536,131072,0,0,0,65536,0
1580800,5571072,11927808,6422528,13828096,10289152,11993088,13828137
1573120,14876672,9830400,3407872,5046272,14286848,8650752,7995395
1574400,12192256,9764864,5242880,15532032,14614528,16187392,14745612
1573376,13107456,3342592,10158080,10092544,12451840,9437184,6881291
1573120,6422528,15335424,15335424,11665408,7077888,7798784,8912912
1572864,16056576,5308416,16056320,16384000,1310720,13631488,458760
1573376,15007744,1441792,1114112,7733248,6750208,10682368,14680066
1573632,9502720,10158080,15597568,15007744,8716288,5505024,5570563
1573888,1114112,12779520,14876672,15663104,7667712,14352384,4390919
1573376,1376256,1441792,15925248,6422528,5439488,7471104,8257537
1573376,13107200,11534336,12320768,6291456,1245184,11337728,14155795
1573376,10027264,13762560,2031616,6553600,2228224,12058624,10485764
1573632,13697024,8126464,524288,65280,16744192,533248,2097152
1574912,9043968,4521984,15335424,983040,15007744,8978432,8585217
1573120,4588032,11927552,3997696,4325376,5046272,14548992,4718610
1573376,8781824,9240576,15990784,14155776,15204352,7536640,15532041
1573120,5898240,2949376,1769472,262144,11927552,786432,9502726
1573120,5898496,14286848,7274496,655360,327680,8519680,4521996
1573632,7930880,2097152,12451840,14352384,9109504,2686976,6225927
1573120,3932160,12648448,15663104,13369344,1310720,8126464,3997703
1573376,13697280,11993344,65536,4128768,2818048,14876672,3735558
1573376,917760,262144,3538944,10027008,65536,12320768,14614541
1573120,8716544,1572864,15925248,13303808,11730944,262144,14352392
1573120,5177344,131072,4390912,7929856,1835008,4915200,14286854
1573120,5570816,8388608,1048576,13107200,6291456,4063232,393228
1572864,15400960,1048576,1835008,13107200,16646144,5373952,7536644
1573376,13369600,2818048,2031616,8585216,4980736,14745600,1835010
1573120,7799040,13041664,6815744,7733248,4521984,786432,10289159
1573120,10682368,6160384,13697024,5373952,1245184,8060928,5636116
1573120,13566720,3080960,7536640,3211264,10551296,8323072,8323082
1573120,4784384,3080192,14745600,16056320,3932160,12517376,2818055
1573120,15204608,3604480,6094848,851968,327680,16121856,13959170
1577216,9765376,13697024,3735552,12451840,9961472,16646144,6684682
1573120,5964032,12976384,11534336,15073280,15269888,11993088,14090251
1573376,10289408,13631488,65536,1310720,13762560,9764864,13565953
1573376,9764864,13959168,4128768,1114112,9568256,3473408,9306122
1572864,11730944,7864320,2359296,851968,14548992,12910592,8060934
1573120,8061184,1048576,15728640,6160384,10878976,7798784,3014661
1573120,8913152,10747904,15532032,11010048,8257536,12713984,12451849
1573120,3080960,2883584,10944512,12255232,589824,3276800,13565959
1573120,4325632,15663104,5308416,2490368,4325376,4784128,3866631
1572864,14876672,13500416,7471360,2621440,9764864,14614528,10813445
1573120,9765120,11993088,16187392,8519680,14680064,10878976,10223623
1573888,16318464,14876672,6946816,4718592,12189696,5242880,8847362
1573888,13435136,12255232,6422784,11796480,720896,10747904,7012370
1573120,1310720,8716544,14942208,14811136,10747904,12845056,11730960
1573120,6619904,4259840,2097152,7340032,8912896,11599872,8978441
1573120,7405824,4718592,655360,6160384,7405568,13238272,720903
1573632,10486016,11272192,6619136,2293760,393216,2424832,11730949
1573120,2818048,13238272,9961472,5242880,14745600,7274496,13697025
1573120,8454144,6881536,10223616,327680,4980736,6029312,10485766
1573120,15335936,6029312,2228224,2949120,2686976,4587520,14417938
1573376,7602176,3866624,9895936,3473408,2949120,10158080,13762565
1573376,13500416,13041920,8257536,5111808,14286848,14876672,4915203
1573120,1441792,10027008,3932160,10551296,262144,655360,9961504
1573120,3342592,7536896,11403264,14090240,5046272,14483456,13959172
1573120,8388864,3866880,3801088,6356992,8716288,13631488,16580620
1573888,13631744,3997696,13107200,13762560,131072,1245184,6750217
1573376,9699584,16711680,16318464,13828096,14614528,4063232,5
1574400,1376512,12517376,4325376,12058624,0,8126464,13959175
1572864,4653312,11141120,15990784,11206656,7405568,15204352,9568264
