Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma
1572864,327680,65536,0,0,65536,65536,65536
1572864,196608,65536,0,65536,65536,0,65536
1575424,5898752,9371904,15597568,10158080,3932160,9699328,15400969
1573120,5046272,14680064,1507328,8847360,2621440,2490368,13107201
1575424,3145728,10551296,3211264,14024704,262144,3604480,393218
1573376,16318720,6553600,5373952,4653056,3801088,4849664,5701638
1575936,13894144,786432,6356992,14352384,14745600,3932160,15073289
1577984,7013632,7536640,11993088,13369344,11010048,6684672,9633822
1576448,3539200,3080192,15204352,12058624,12713984,10616832,7405574
1576448,3014912,12582912,10354688,16252928,2621440,6946816,917513
1575680,2425088,5112064,65792,4390912,2883584,6422528,2818069
1579776,8847616,15794944,11337728,5898496,9175040,9895936,10879010
1574400,1638912,393216,15073280,15663104,5242880,8519680,4718604
1577216,5834496,5373952,11993088,14811136,14876672,10354688,13828197
1573376,6881280,4391168,8323072,7471104,3276800,15663104,10354708
1573888,15007744,10551296,10158080,8847360,8519680,8781824,1048582
1573888,12060416,15990784,14614528,4259840,15859712,6619136,1114126
1580544,9044224,2490368,10289152,3145728,458752,327680,7471113
1574144,14417920,4390912,14811136,15794176,9764864,6815744,13959183
1573376,12320768,8978688,15859712,6684672,13369344,12582912,15925265
1577728,917504,4456448,2162688,9175040,11468800,9764864,11599922
1576192,9700096,6881280,6946816,4718592,3735552,8454144,10092565
1573888,12714752,10616832,10223616,5636096,786432,3473408,15138837
1574144,11206656,8716800,14745856,10944512,13500416,12976128,5242929
1575424,8651008,1703936,6225920,12976128,14745600,3670016,5570583
1573376,14942464,11403264,2883584,9306112,1310720,14352384,4063238
1575680,10355456,16449536,9961472,1769472,11730944,10616832,11599887
1573888,3538944,4128768,13828096,3670016,15859712,1048576,2752516
1580288,3277312,2949120,15138816,7340032,14155776,12451840,9306134
1572864,1966592,589824,7602176,3276800,9568256,14417920,2752546
1574144,15270144,4259840,15138816,4521984,3407872,4521984,7667729
1573120,12845056,12124160,15532032,13434880,9568256,14876672,3997711
1573632,14680064,14352640,2162688,7798784,14090240,15007744,8912911
1573632,6750208,9371648,8060928,10485760,3407872,1048576,7143428
1574912,14352384,14942208,14155776,8912896,11665408,786432,12255236
1573120,2097152,12124160,10747904,327680,4128768,6291456,5701639
1574400,11796480,7536640,12451840,1769472,13369344,3866624,262162
1573120,65792,5046272,3932160,8519680,14417920,3735552,7340045
1573376,1638400,5767168,4128768,3211264,6684672,11927552,6094851
1573120,7602176,9240576,15663104,8912896,12648448,2686976,1245185
1574144,3604736,1179648,2293760,15532032,2490368,3407872,13893649
1573376,7012608,9306112,15990784,12910592,9502720,2228224,10027018
1573120,14417920,16384000,13697024,786432,0,7667712,8192007
1575168,4784128,7799296,11403520,3473408,15925248,14745600,2555919
1572864,9568512,3473408,6684672,10551296,4521984,11337728,4325389
1576192,11993344,15597824,7995392,4063232,4063232,6422528,14549002
1574656,12648704,8388864,14090240,8781824,10616832,10420224,9895953
1574400,4063488,16515072,6881280,16121856,2621440,9764864,12058655
1573376,11862016,8847360,9502720,65536,9895936,11337728,1376260
1574400,14876928,15007744,3735808,5636096,4587520,6160384,2687002
1575680,13303808,3538944,3342336,15400960,1114112,15269888,6488067
1573120,15991040,6029312,6488064,9699328,1245184,11665408,13434884
